ID,prediction
20160303022202,0
20160303052049,0
20160303052319,0
20160303055318,0
20160303063505,0
20160303064930,0
20160303070035,0
20160303080108,0
20160303080415,0
20160303084611,0
20160303090907,0
20160303094208,0
20160303095020,0
20160303100524,0
20160303101121,0
20160303104226,0
20160303104649,1
20160303110608,0
20160303111951,0
20160303112035,0
20160303115626,0
20160303122153,0
20160303132744,0
20160303135229,0
20160303141151,0
20160303144517,0
20160303144634,0
20160303151526,0
20160303154937,0
20160303155404,0
20160303165438,0
20160303174302,0
20160303182122,0
20160303190106,0
20160303204945,0
20160303205426,0
20160303235521,0
20160304033256,0
20160304043340,0
20160304054324,0
20160304064826,0
20160304065325,0
20160304065925,0
20160304072717,0
20160304073525,0
20160304083034,0
20160304091027,0
20160304092909,0
20160304093059,0
20160304095725,0
20160304095846,0
20160304100236,0
20160304102959,0
20160304105213,0
20160304120843,0
20160304122159,0
20160304131422,0
20160304135711,0
20160304141852,0
20160304143245,0
20160304144403,0
20160304144500,0
20160304160357,0
20160304174233,0
20160304174733,0
20160304175220,0
20160304182254,0
20160304184906,0
20160304193649,0
20160304194322,0
20160304202411,0
20160304203509,0
20160304204500,0
20160304234752,0
20160305043919,0
20160305045526,0
20160305051522,0
20160305055739,0
20160305061555,0
20160305065629,0
20160305072733,0
20160305074216,0
20160305074940,0
20160305082659,0
20160305083902,0
20160305091131,0
20160305091641,0
20160305092122,0
20160305095223,0
20160305104541,0
20160305110950,0
20160305111119,0
20160305112604,0
20160305113247,0
20160305113500,0
20160305114317,0
20160305125112,0
20160305125620,0
20160305125716,0
20160305130547,0
20160305141330,0
20160305152420,0
20160305152526,1
20160305153516,0
20160305172522,0
20160305175222,0
20160305180705,0
20160305183354,0
20160305192929,0
20160305194142,0
20160305210626,0
20160305232555,0
20160306012532,0
20160306021504,0
20160306054400,0
20160306055216,0
20160306060025,0
20160306065554,0
20160306070616,0
20160306071956,0
20160306081629,0
20160306083850,0
20160306091927,0
20160306092853,0
20160306102240,0
20160306103046,0
20160306110931,0
20160306114544,0
20160306115446,0
20160306115919,1
20160306121725,0
20160306123344,0
20160306123844,0
20160306130516,0
20160306131727,0
20160306132352,1
20160306133800,0
20160306134131,0
20160306134408,0
20160306140411,0
20160306141037,0
20160306150937,0
20160306151601,0
20160306152721,0
20160306162108,0
20160306170213,0
20160306173906,0
20160306173923,0
20160306174203,0
20160306175844,0
20160306181225,0
20160306191636,0
20160306193516,0
20160306193724,0
20160306194709,0
20160306195200,0
20160306204334,0
20160306205105,0
20160306210827,0
20160306234339,0
20160307015517,0
20160307051101,0
20160307052419,0
20160307054512,0
